simplification,nbr_occurences_simpl,obsolete,porcelaine,nbr_occurences_porcelaine
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,non,Sans lien avec la porcelaine,815243
arelles de baleine,1,non,,37091
argent,12,non,Sans lien avec la porcelaine,815243
argent battu,1,non,Sans lien avec la porcelaine,815243
argent battu et en feuille,2,non,Sans lien avec la porcelaine,815243
argent battu filé laminé et tiré,3,non,Sans lien avec la porcelaine,815243
argent brisé et en lingots et en masses,1,non,Sans lien avec la porcelaine,815243
argent brûlé,7,non,Sans lien avec la porcelaine,815243
argent brut,1,non,Sans lien avec la porcelaine,815243
argent brut en lingot et en masse ouvrages détruits,2,non,Sans lien avec la porcelaine,815243
argent carragoux,2,non,Sans lien avec la porcelaine,815243
argent en barils,2,non,Sans lien avec la porcelaine,815243
argent en barres,17,non,Sans lien avec la porcelaine,815243
argent en lingots,27,non,Sans lien avec la porcelaine,815243
argent en lingots par Calais,1,non,Sans lien avec la porcelaine,815243
argent et or,237,non,Sans lien avec la porcelaine,815243
argent et or billon,8,non,Sans lien avec la porcelaine,815243
argent faux,9,non,Sans lien avec la porcelaine,815243
argent faux en fil cantilles etc.,3,non,Sans lien avec la porcelaine,815243
argent faux et or faux,53,non,Sans lien avec la porcelaine,815243
argent faux et or faux traits,5,non,Sans lien avec la porcelaine,815243
argent fin,1,non,Sans lien avec la porcelaine,815243
argent monnayé et nogat d'or,4,non,Sans lien avec la porcelaine,815243
argent vif,3,non,Sans lien avec la porcelaine,815243
argenterie,733,non,Sans lien avec la porcelaine,815243
argenterie épée,7,non,Sans lien avec la porcelaine,815243
argenterie et bijouterie,21,non,Sans lien avec la porcelaine,815243
argenterie et bijouterie et orfèvrerie,1,non,Sans lien avec la porcelaine,815243
argenterie et orfèvrerie,122,non,Sans lien avec la porcelaine,815243
argenterie et orfèvrerie vermeil,37,non,Sans lien avec la porcelaine,815243
argenterie neuve,4,non,Sans lien avec la porcelaine,815243
argenterie vieille,11,non,Sans lien avec la porcelaine,815243
argenterie vieille en couverts,1,non,,37091
argenterie vieille et bijouterie d'argent,2,non,,37091
argile et terre pour engrais,15,non,Sans lien avec la porcelaine,815243
arins,1,non,Sans lien avec la porcelaine,815243
aristoloche,68,non,Sans lien avec la porcelaine,815243
armement de tables,3,non,Sans lien avec la porcelaine,815243
armes,345,non,Sans lien avec la porcelaine,815243
armes à feu,350,non,Sans lien avec la porcelaine,815243
armes à feu de guerre,2,non,Sans lien avec la porcelaine,815243
armes à feu de guerre et de traite,1,non,Sans lien avec la porcelaine,815243
armes à feu de guerre portatives,2,non,Sans lien avec la porcelaine,815243
armes à feu de luxe,4,non,Sans lien avec la porcelaine,815243
armes à feu de luxe ou de traite,3,non,Sans lien avec la porcelaine,815243
armes à feu de munitions,2,non,Sans lien avec la porcelaine,815243
armes à feu de munitions fines,4,non,Sans lien avec la porcelaine,815243
armes à feu de traite,1,non,Sans lien avec la porcelaine,815243
armes à feu et artillerie,1,non,Sans lien avec la porcelaine,815243
armes à feu et de traite,1,non,Sans lien avec la porcelaine,815243
armes à feu et fusils,1,non,Sans lien avec la porcelaine,815243
armes armureries,1,non,Sans lien avec la porcelaine,815243
armes autres que de guerre à feu,1,non,Sans lien avec la porcelaine,815243
armes autres que de guerre blanches,1,non,Sans lien avec la porcelaine,815243
armes blanches,190,non,Sans lien avec la porcelaine,815243
armes blanches à feu et artillerie,5,oui,,37091
armes blanches de guerre,1,non,Sans lien avec la porcelaine,815243
armes blanches de guerre et de traite,1,non,Sans lien avec la porcelaine,815243
armes blanches de luxe,2,non,Sans lien avec la porcelaine,815243
armes blanches de luxe ou de traite,3,non,Sans lien avec la porcelaine,815243
armes blanches de traite,1,non,Sans lien avec la porcelaine,815243
armes de chasse ou de luxe à feu,2,non,Sans lien avec la porcelaine,815243
armes de chasse ou de luxe blanches,2,non,Sans lien avec la porcelaine,815243
armes de guerre,2,non,Sans lien avec la porcelaine,815243
armes différentes,1,non,Sans lien avec la porcelaine,815243
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,non,Sans lien avec la porcelaine,815243
armes et munitions,9,non,Sans lien avec la porcelaine,815243
armes lames,1,non,Sans lien avec la porcelaine,815243
armes remontrances,3,non,Sans lien avec la porcelaine,815243
armoires,57,non,Sans lien avec la porcelaine,815243
armoires ayant servi,1,non,Sans lien avec la porcelaine,815243
armoires d'acajou,12,non,Sans lien avec la porcelaine,815243
armoires de bois,2,non,Sans lien avec la porcelaine,815243
armoires de bois de noyer,1,non,Sans lien avec la porcelaine,815243
armoires de bois de sapin peintes,0,non,Sans lien avec la porcelaine,815243
armoires de bois des Indes,1,non,Sans lien avec la porcelaine,815243
armoires de chêne,9,non,Sans lien avec la porcelaine,815243
armoires de chêne ornée,1,non,Sans lien avec la porcelaine,815243
armoires de noyer,9,non,Sans lien avec la porcelaine,815243
armoires de sapin,4,non,Sans lien avec la porcelaine,815243
armoires et commodes,1,non,Sans lien avec la porcelaine,815243
armoires vieilles,2,non,Sans lien avec la porcelaine,815243
armoisin,46,non,Sans lien avec la porcelaine,815243
armure de fer,1,non,Sans lien avec la porcelaine,815243
armure vieille,1,non,Sans lien avec la porcelaine,815243
arnas,1,non,Sans lien avec la porcelaine,815243
arpois,1,oui,Sans lien avec la porcelaine,815243
arquebuse,1,non,Sans lien avec la porcelaine,815243
arrangas,1,non,Sans lien avec la porcelaine,815243
arrosoirs,7,non,Sans lien avec la porcelaine,815243
arrosoirs de bois,2,non,Sans lien avec la porcelaine,815243
arrosoirs de cuivre,1,non,Sans lien avec la porcelaine,815243
arrosoirs de fer,1,non,,37091
arrosoirs de fer-blanc,6,non,Sans lien avec la porcelaine,815243
arrosoirs de sapin,1,non,Sans lien avec la porcelaine,815243
arrosoirs de terre,1,non,Sans lien avec la porcelaine,815243
arrowroot,1,non,Sans lien avec la porcelaine,815243
arséniate de potasse,2,non,Sans lien avec la porcelaine,815243
arsenic,476,non,Sans lien avec la porcelaine,815243
arsenic métallique,6,non,Sans lien avec la porcelaine,815243
artichauts,82,non,Sans lien avec la porcelaine,815243
artichauts champignons et truffes,2,non,Sans lien avec la porcelaine,815243
artichauts confits,67,non,Sans lien avec la porcelaine,815243
artichauts frais,17,non,Sans lien avec la porcelaine,815243
artichauts marinés,2,non,Sans lien avec la porcelaine,815243
artichauts secs,6,non,Sans lien avec la porcelaine,815243
artifice,5,non,Sans lien avec la porcelaine,815243
artifice fusées etc.,44,non,Sans lien avec la porcelaine,815243
artillerie,6,non,Sans lien avec la porcelaine,815243
asa fœtida,124,non,Sans lien avec la porcelaine,815243
ascrile,1,non,,37091
asperges,9,non,Sans lien avec la porcelaine,815243
asperges confites,1,non,Sans lien avec la porcelaine,815243
asperges et scorsonères,69,non,Sans lien avec la porcelaine,815243
asphaltum,19,non,Sans lien avec la porcelaine,815243
aspic en grabeau,1,non,,37091
assiette,2,non,Sans lien avec la porcelaine,815243
assiette de Biarritz,1,non,Sans lien avec la porcelaine,815243
assiette de bois,1,non,Sans lien avec la porcelaine,815243
assiette de faïence,10,non,Substitut 1 de la porcelaine,2995
assiette de porcelaine,3,non,Porcelaine,1920
assiette de porcelaine des Indes,1,non,Porcelaine,1920
assiette de terre,6,non,Substitut 2 de la porcelaine,1471
assiette et plats de terre,1,non,Substitut 2 de la porcelaine,1471
asustum,1,non,Sans lien avec la porcelaine,815243
atastes,1,non,Sans lien avec la porcelaine,815243
atchiabanis,14,oui,,37091
atlas,4,non,Sans lien avec la porcelaine,815243
atlas à la feuille d'or,1,non,,37091
atlas et instruments de marine,2,non,Sans lien avec la porcelaine,815243
atlas jaspé,1,non,,37091
attaches de cuivre,1,non,Sans lien avec la porcelaine,815243
attelles de colliers,14,non,Sans lien avec la porcelaine,815243
aube,1,non,Sans lien avec la porcelaine,815243
auchinoise,2,non,Sans lien avec la porcelaine,815243
auclimes,3,non,Sans lien avec la porcelaine,815243
auf,117,non,Sans lien avec la porcelaine,815243
auf ouvré,,oui,Sans lien avec la porcelaine,815243
auf travaillé,,oui,Sans lien avec la porcelaine,815243
auf travaillé en cordes,,oui,Sans lien avec la porcelaine,815243
augemy,2,non,Sans lien avec la porcelaine,815243
auges,3,non,Sans lien avec la porcelaine,815243
auges de carreaux,2,non,Sans lien avec la porcelaine,815243
augustins,2,non,Sans lien avec la porcelaine,815243
aurcsats,1,non,Sans lien avec la porcelaine,815243
aurcsats étoile,1,non,Sans lien avec la porcelaine,815243
aussière,0,non,Sans lien avec la porcelaine,815243
autel de marbre,2,non,Sans lien avec la porcelaine,815243
aux travaux du Roi,6,non,,37091
avelanède,62,non,,37091
avelanèdes,59,oui,Sans lien avec la porcelaine,815243
avelines,9,non,Sans lien avec la porcelaine,815243
avelines et noisettes sèches,22,non,Sans lien avec la porcelaine,815243
avelines faînes noisettes noix,1,non,Sans lien avec la porcelaine,815243
avelines noisettes noix,5,non,Sans lien avec la porcelaine,815243
avirons,663,non,Sans lien avec la porcelaine,815243
avirons bruts,17,non,Sans lien avec la porcelaine,815243
avirons de 12 pieds,1,non,Sans lien avec la porcelaine,815243
avirons de 18 pieds,1,non,Sans lien avec la porcelaine,815243
avirons de 30 pieds,1,non,Sans lien avec la porcelaine,815243
avirons de 5 pieds,1,non,Sans lien avec la porcelaine,815243
avirons de 8 à 12 pieds,1,non,Sans lien avec la porcelaine,815243
avirons de bois,60,non,Sans lien avec la porcelaine,815243
avirons de bois façonné,1,non,Sans lien avec la porcelaine,815243
avirons de chêne,1,non,Sans lien avec la porcelaine,815243
avirons de sapin,1,non,Sans lien avec la porcelaine,815243
avirons en bois de construction,2,non,,37091
avirons et perches de bois,0,non,Sans lien avec la porcelaine,815243
avirons et rames bruts,2,non,Sans lien avec la porcelaine,815243
avirons et rames de bois,1,non,Sans lien avec la porcelaine,815243
avirons et rames de bois façonné,2,non,Sans lien avec la porcelaine,815243
avirons et rames façonnés,5,non,Sans lien avec la porcelaine,815243
avirons polis,1,non,Sans lien avec la porcelaine,815243
avoine,1026,non,Sans lien avec la porcelaine,815243
avoine en gerbes,22,non,Sans lien avec la porcelaine,815243
avoine et haricots,1,non,Sans lien avec la porcelaine,815243
avoine et orge etc.,1,non,Sans lien avec la porcelaine,815243
avoine mondée,1,non,Sans lien avec la porcelaine,815243
avoine moulée,1,non,Sans lien avec la porcelaine,815243
azur,744,non,Sans lien avec la porcelaine,815243
azur commun,333,non,Sans lien avec la porcelaine,815243
azur et bleu de Prusse,9,non,Sans lien avec la porcelaine,815243
azur et cobalt,20,non,Sans lien avec la porcelaine,815243
azur fin,13,non,Sans lien avec la porcelaine,815243
azur gros,24,non,Sans lien avec la porcelaine,815243
babassis,1,non,Sans lien avec la porcelaine,815243
babouches,91,non,Sans lien avec la porcelaine,815243
babouches de maroquin,2,non,Sans lien avec la porcelaine,815243
bacs d'1 aime,1,non,Sans lien avec la porcelaine,815243
bacs de pierre,4,non,Sans lien avec la porcelaine,815243
bacs de pierre bleue,2,non,Sans lien avec la porcelaine,815243
bacs de pierre d'1 aime,13,non,Sans lien avec la porcelaine,815243
bacs de pierre de 4 aimes,2,non,Sans lien avec la porcelaine,815243
bacs de pierre de demi d'aime,66,non,Sans lien avec la porcelaine,815243
bacs de pierre de moindre classe,85,non,Sans lien avec la porcelaine,815243
bacs de pierre de trois-quart d'aime,2,non,Sans lien avec la porcelaine,815243
bacs de pierre en dessous d'1 aime,14,non,Sans lien avec la porcelaine,815243
bacs de pierre en dessus d'1 aime,54,non,Sans lien avec la porcelaine,815243
badiane,61,non,Sans lien avec la porcelaine,815243
baffetas,10,non,Sans lien avec la porcelaine,815243
baffetas blanc,20,non,Sans lien avec la porcelaine,815243
baffetas bleu,27,non,Sans lien avec la porcelaine,815243
baffetas des Indes,4,non,Sans lien avec la porcelaine,815243
bafs ?,0,non,,37091
bagages,5,non,,37091
bagarot,1,non,Sans lien avec la porcelaine,815243
bagues,5,non,Sans lien avec la porcelaine,815243
bagues à pierres fausses,1,non,Sans lien avec la porcelaine,815243
bagues d'argent,2,non,Sans lien avec la porcelaine,815243
bagues d'or,1,non,Sans lien avec la porcelaine,815243
bagues de cuivre,2,non,Sans lien avec la porcelaine,815243
bagues de laiton,1,non,Sans lien avec la porcelaine,815243
bagues de verre,3,non,Sans lien avec la porcelaine,815243
baguettes,6,non,Sans lien avec la porcelaine,815243
baguettes à chandelle,1,non,Sans lien avec la porcelaine,815243
baguettes à étoffe,2,non,Sans lien avec la porcelaine,815243
baguettes d'étain,2,non,Sans lien avec la porcelaine,815243
baguettes de bois,1,non,Sans lien avec la porcelaine,815243
baguettes de bois doré,1,non,Sans lien avec la porcelaine,815243
baguettes de cuivre,3,non,Sans lien avec la porcelaine,815243
baguettes de fer à fusil,53,non,Sans lien avec la porcelaine,815243
baguettes de fusil,48,non,Sans lien avec la porcelaine,815243
bahuts,24,non,Sans lien avec la porcelaine,815243
baie de laurier,28,non,Sans lien avec la porcelaine,815243
baies de buis,1,non,Sans lien avec la porcelaine,815243
baies de genévrier à distiller,2,non,Sans lien avec la porcelaine,815243
baies de genièvre,9,non,Sans lien avec la porcelaine,815243
baignes,3,non,Sans lien avec la porcelaine,815243
baignoires,2,non,Sans lien avec la porcelaine,815243
baignoires d'acajou,1,non,Sans lien avec la porcelaine,815243
baignoires de cuivre,4,non,Sans lien avec la porcelaine,815243
baignoires de sapin,1,non,Sans lien avec la porcelaine,815243
baignoires de tôle,2,non,Sans lien avec la porcelaine,815243
baigots,1,non,Sans lien avec la porcelaine,815243
baillarge,9,non,Sans lien avec la porcelaine,815243
bailles,1,non,Sans lien avec la porcelaine,815243
baïonnettes,78,non,Sans lien avec la porcelaine,815243
bais de bois de chêne,2,non,Sans lien avec la porcelaine,815243
bajutapau,248,non,Sans lien avec la porcelaine,815243
bajutapau commun,1,non,Sans lien avec la porcelaine,815243
bajutapau des Indes,3,oui,Sans lien avec la porcelaine,815243
"bajutapau, canelis, etc.",3,non,,37091
balais,153,non,Sans lien avec la porcelaine,815243
balais communs,5,non,Sans lien avec la porcelaine,815243
balais coupés,3,non,Sans lien avec la porcelaine,815243
balais de bois,39,non,Sans lien avec la porcelaine,815243
balais de brandes,1,non,Sans lien avec la porcelaine,815243
balais de bruyère,12,non,Sans lien avec la porcelaine,815243
balais de chanvre,1,non,Sans lien avec la porcelaine,815243
balais de crin,12,non,Sans lien avec la porcelaine,815243
balais de foyer,1,non,Sans lien avec la porcelaine,815243
balais de jonc,50,non,Sans lien avec la porcelaine,815243
balais de jonc petits,1,non,Sans lien avec la porcelaine,815243
balais de laine à laver les planchers,1,non,Sans lien avec la porcelaine,815243
balais de Livourne,18,non,,37091
balais de millet,2,non,Sans lien avec la porcelaine,815243
balais de paille,2,non,Sans lien avec la porcelaine,815243
balais de paille de riz,6,non,Sans lien avec la porcelaine,815243
balais de palme,299,non,Sans lien avec la porcelaine,815243
balais de palme petits,2,non,Sans lien avec la porcelaine,815243
balais de plumes,3,non,Sans lien avec la porcelaine,815243
balais de poil,2,non,Sans lien avec la porcelaine,815243
balais de riz,6,non,Sans lien avec la porcelaine,815243
balais de soie,7,non,Sans lien avec la porcelaine,815243
balais de soie de porc,,oui,Sans lien avec la porcelaine,815243
balais de soie de porcs,18,non,,37091
balais de toile,1,non,Sans lien avec la porcelaine,815243
balais du roi,1,non,Sans lien avec la porcelaine,815243
balais fins,1,non,Sans lien avec la porcelaine,815243
balais grands de palme,3,non,Sans lien avec la porcelaine,815243
balais ou ramons,101,non,Sans lien avec la porcelaine,815243
balais petits,6,non,Sans lien avec la porcelaine,815243
balance,11,non,Sans lien avec la porcelaine,815243
