simplification,nbr_occurences_simpl,sitc,imprimatur,obsolete,nbr_occurences_sitc
balais,134,8,x,non,73489
balais communs,5,8,,non,73489
balais coupés,3,8,x,non,73489
balais de bois,39,8,x,non,73489
balais de brandes,1,8,x,non,73489
balais de bruyère,12,8,x,non,73489
balais de chanvre,1,8,x,non,73489
balais de crin,12,8,x,non,73489
balais de foyer,1,8,x,non,73489
balais de jonc,50,8,x,non,73489
balais de jonc petits,1,8,x,non,73489
balais de laine à laver les planchers,1,8,x,non,73489
balais de Livourne,3,8,,non,73489
balais de millet,2,8,,non,73489
balais de paille,2,8,x,non,73489
balais de paille de riz,6,8,x,non,73489
balais de palme,296,8,x,non,73489
balais de palme petits,2,8,,non,73489
balais de plumes,3,8,x,non,73489
balais de poil,2,8,x,non,73489
balais de riz,5,8,x,non,73489
balais de soie,7,8,x,non,73489
balais de soie de porcs,18,8,x,non,73489
balais de toile,1,8,x,non,73489
balais du roi,1,8,x,non,73489
balais fins,1,8,x,non,73489
balais grands de palme,3,8,,non,73489
balais ou ramons,101,8,x,non,73489
balais petits,6,8,x,non,73489
balance,11,8,x,non,73489
balance à la romaine,1,8,x,non,73489
balance complète,1,8,,non,73489
balance de bois,1,8,x,non,73489
balance de cuivre,8,8,x,non,73489
balance de cuivre jaune,1,8,,non,73489
balance de fer,4,8,,non,73489
balance et poids de cuivre,1,8,,non,73489
balance et romaine,2,8,x,non,73489
balance et ses poids,1,8,x,non,73489
balance ou fléaux en fer,3,8,x,non,73489
balance petite,1,8,,non,73489
balance romaine,3,8,x,non,73489
balcon de fer,1,6j,x,non,52557
baleine,126,2,x,non,132190
baleine apprêtée,1,2,x,non,132190
baleine coupée,777,2,x,non,132190
baleine coupée en fanon,11,2,x,non,132190
baleine coupée et en fanon,11,2,x,non,132190
baleine de sarde,18,2,x,non,132190
baleine en fanon,287,2,x,non,132190
baleine en fanon et de sarde,1,2,,non,132190
baleine non sciée,75,2,,non,132190
baleine taillée,2,2,,non,132190
balles,8,9c,x,non,14305
balles à jouer,105,8,x,non,73489
balles d'osier,3,6b,x,non,36542
balles de fer et canons de fer,51,8,x,non,73489
balles de fer uni,1,8,x,non,73489
balles de jonc,1,6b,,non,36542
balles de laine,1,2,,non,132190
balles de palme,1,2,,non,132190
balles de plomb,8,6j,,non,52557
balles de plumes,1,2,,non,132190
balles et dragées de plomb,121,6j,,non,52557
balles vides,1,9c,x,non,14305
ballons en sapin,1,6b,,non,36542
ballots,69,9c,,non,14305
ballots d'étoffe,1,6i,,non,10609
balustres,12,9c,,non,14305
bamboches,1,8,,non,73489
bambous,3,2,x,non,132190
bambous et joncs,2,2,,non,132190
bambous et joncs forts,5,2,,non,132190
banastron,1,9c,,non,14305
banc à couper la paille,1,8,x,non,73489
banc de sapin,1,8,x,non,73489
bandages,4,6i,x,non,10609
bandages de peaux,5,6a,x,non,24964
bandages pour soldats,1,6a,,non,24964
bandanas des Indes,1,8,x,non,73489
bandeaux,4,9c,x,non,14305
banderoles,2,9c,x,non,14305
banderoles de cuir,2,6a,x,non,24964
bandes de cabrouets de fer,3,7,x,non,13687
bandes de charrettes,1,7,,non,13687
bandes de fer,4,6j,x,non,52557
bandes de fer à tombereaux,1,6j,x,non,52557
bandes de roues de fer,1,6j,x,non,52557
bandes de tulle brodées,1,6j,,non,52557
bandes de tulles brodées,1,6j,,oui,52557
bandes et barres de fer,4,6j,,non,52557
bandoulières garnies d'argent,1,9a,,non,1585
bannes et bannettes d'osier,1,6b,,non,36542
bannettes d'osier,1,8,x,non,73489
bannettes de cuir,1,8,x,non,73489
bannière de Damas,1,6i,x,non,10609
banquette,4,8,x,non,73489
baquelets,0,9c,x,non,14305
baquets,2,9c,x,non,14305
baquets à jeter l'eau,1,9c,,non,14305
baquets de cuivre,5,6j,x,non,52557
baquets de fer,1,6j,x,non,52557
baquets de rechange,1,9c,x,non,14305
baquets de sapin,2,6b,x,non,36542
baracan,216,6e,x,non,20998
baracan d'Abbeville,1,6e,,non,20998
baracan de laine,15,6e,x,non,20998
baracan de laine et de poil,2,6e,,non,20998
baracan de Lille,1,6e,,non,20998
baracan de poil,64,6e,x,non,20998
baras,1,9c,,non,14305
barat de laine,1,6e,x,non,20998
baratte,1,6b,x,non,36542
barbançons,6,6k,x,non,22659
barbançons de grès,45,6k,x,non,22659
barbançons de terre,20,6k,x,non,22659
barbançons de terre de grès,1,6k,,oui,22659
barbançons de verre,1,6k,,non,22659
barbe de baleine,11,2,x,non,132190
barbotine,43,2,x,non,132190
barbues,1,6k,x,non,22659
barbues couvertes d'étamine,1,6k,x,non,22659
barbues de grès,14,6k,x,non,22659
barbues de terre,1,6k,x,non,22659
barbues ouvrées et cannettes ouvrées et jarres de terre ouvrées,1,6k,,non,22659
bardes,5,9c,x,non,14305
barilleau,8,6b,x,non,36542
barilleau de laine,3,6e,,non,20998
barils,13,6b,x,non,36542
barils à poudre,5,6b,x,non,36542
barils ancres,1,9b,x,non,62133
barils de chêne,1,6b,x,non,36542
barils de fer-blanc,1,6j,,non,52557
barils de fer-blanc simples,1,6j,,non,52557
barils de sapin,1,6b,x,non,36542
barils de tonnelier,3,6b,x,non,36542
barils de vin de ???,4,1,x,non,58766
barils doubles de fer-blanc,1,6j,,non,52557
barils neufs,1,6b,x,non,36542
barils petits,2,6b,,non,36542
barils pour saler sardines,1,6b,,non,36542
barils vides,117,6b,x,non,36542
barils vides de sardines,2,6b,x,non,36542
barils vieux,1,6b,,non,36542
barois,8,6h,,non,15137
baromètre,6,8,x,non,73489
barques,2,7,x,non,13687
barques démontées,1,7,x,non,13687
barques en bottes,1,9c,,non,14305
barquettes,210,7,x,non,13687
barquettes et nacelles,5,7,x,non,13687
barquettes vieilles,5,7,x,non,13687
barreau de laine,2,6e,x,non,20998
barreaux,3,6b,x,non,36542
barreaux de bois,8,6b,x,non,36542
barreaux de bois et planches de bois,6,6b,x,non,36542
barreaux de sapin,2,6b,x,non,36542
barreaux de sapin de 10 pieds,1,6b,x,non,36542
barreaux neufs,2,6b,x,non,36542
barres,114,9c,x,non,14305
barres à nègre,1,9c,x,non,14305
barres carrées de fer étiré,6,2,,non,132190
barres carrées de fer étiré de 15 inclusivement à 22 millimètres exclusivement,1,2,,non,132190
barres carrées de fer étiré de 15 inclusivement à 22 millimètres exclusivement sur chaque face,1,2,,non,132190
barres carrées de fer étiré de 22 millimètres et plus sur chaque face,2,2,,non,132190
barres carrées de fer étiré de moins de 15 millimètres,1,2,,non,132190
barres carrées de fer étiré de moins de 15 millimètres sur chaque face,1,2,,non,132190
barres d'anspect en bois,1,7,,non,13687
barres d'anspects,97,7,x,non,13687
barres d'anspects et barres de cabestan,134,7,,non,13687
barres d'étain,3,6j,x,non,52557
barres d'étain ou blocs d'étain,2,6j,x,non,52557
barres de barrique,1,6b,x,non,36542
barres de bois,37,6b,x,non,36542
barres de cabestan,70,7,x,non,13687
barres de cabestan en bois,2,7,,non,13687
barres de chêne,1,6b,,non,36542
barres de chêne petites,1,6b,x,non,36542
barres de cuivre,2,6j,x,non,52557
barres de cuivre petites,1,6j,,non,52557
barres de fer,2943,6j,x,non,52557
barres de fer à frire,1,6j,,non,52557
barres de fer blanc,3,6j,,non,52557
barres de fer d'Espagne,5,6j,,non,52557
barres de fer de Suède,4,6j,,non,52557
barres de fer étiré,2,6j,,non,52557
barres de futel,1,9c,x,non,14305
barres de guindeau,45,7,x,non,13687
barres de sapin,2,6b,x,non,36542
barres de sapin de 3 à 4 pieds,1,6b,x,non,36542
barres de sapin pour fonçaille,1,6b,,non,36542
barres et cercles de fer,1,6j,,non,52557
barres et verges de fer,14,6j,x,non,52557
barres fines de fer,2,6j,,non,52557
barres maître-fond,5,9c,x,non,14305
barres plates de fer étiré,6,2,,non,132190
barres plates de fer étiré de 113 à 366 millimètres ou 42 à 72 lignes inclusivement,1,2,,non,132190
barres plates de fer étiré de 213 à 366 millimètres de largueur multipliée par l'épaisseur,1,2,,non,132190
barres plates de fer étiré de moins de 113 millimètres ou 42 lignes,1,2,,non,132190
barres plates de fer étiré de moins de 213 millimètres de largueur multipliée par l'épaisseur,1,2,,non,132190
barres plates de fer étiré de plus de 366 millimètres de largeur multipliée par l'épaisseur,1,2,,non,132190
barres plates de fer étiré de plus de 366 millimètres ou 72 lignes,1,2,,non,132190
barres pour édifices,1,2,,non,132190
barres pour édifiées,1,9c,,non,14305
barres rondes de fer étiré,6,2,,non,132190
barres rondes de fer étiré de 15 millimètres et plus de diamètres,1,2,,non,132190
barres rondes de fer étiré de 15 millimètres ou 7 lignes et plus de diamètres,1,2,,non,132190
barres rondes de fer étiré de moins de 15 millimètres de diamètres,1,2,,non,132190
barres rondes de fer étiré de moins de 15 millimètres ou 7 lignes diamètres,1,2,,non,132190
barretons d'or,1,2,,non,132190
barrettes,1,2,,non,132190
barrettes de cuivre,3,6j,x,non,52557
barrettes de fer,1,6j,x,non,52557
barriques,58,6b,x,non,36542
barriques à eau,2,6b,,non,36542
barriques cerclées de fer,1,6b,,non,36542
barriques cerclées de fer et vides,1,6b,,non,36542
barriques d'eau,1,6b,,non,36542
barriques en bœuf,1,6b,,non,36542
barriques neuves,5,6b,x,non,36542
barriques vides,181,6b,x,non,36542
barriques vides vieilles,48,6b,,non,36542
barriques vieilles,21,6b,x,non,36542
barriques vieilles ???,4,6b,,non,36542
bas,83,8,x,non,73489
bas à crin d'or et de soie,1,8,x,non,73489
bas communs,2,8,x,non,73489
bas d'estam,1,8,,non,73489
bas d'estame,68,8,x,non,73489
bas d'estame fins,2,8,x,non,73489
bas d'étoffe,1,8,,non,73489
bas de bourre de soie,7,8,x,non,73489
bas de Carcassone,1,8,,non,73489
bas de castor,24,8,x,non,73489
bas de chamois,19,8,x,non,73489
bas de coton,698,8,x,non,73489
bas de coton 1300 lignes,1,8,,non,73489
bas de coton de femme,1,8,,non,73489
bas de coton en paires,1,8,,non,73489
bas de coton et bas de fil,341,8,x,non,73489
bas de coton et bas de fil et bas de soie,1,8,x,non,73489
bas de coton et bas de fil par paires,1,8,x,non,73489
bas de coton et bas de soie,1,8,x,non,73489
bas de coton et bonnets de coton,30,8,x,non,73489
bas de coton et laine,1,8,,non,73489
bas de coton pour enfant,1,8,,non,73489
bas de coton pour femme,1,8,,non,73489
bas de coton pour homme,1,8,,non,73489
bas de coutil,1,8,,non,73489
bas de fil,835,8,x,non,73489
bas de fil commun,21,8,x,non,73489
bas de fil d'or,2,8,,non,73489
bas de fil divers,1,8,,non,73489
bas de fil et bas de laine,1,8,x,non,73489
bas de fil et bonnets,2,8,,non,73489
bas de fil et pour femme,2,8,x,non,73489
bas de fil et pour homme,1,8,x,non,73489
bas de fil par paires,3,8,x,non,73489
bas de filoselle,378,8,x,non,73489
bas de Flandre d'homme,1,8,,non,73489
bas de Flandre de femme,1,8,,non,73489
bas de flans,1,8,,non,73489
bas de fleuret,85,8,x,non,73489
bas de laine,971,8,x,non,73489
bas de laine 40 lignes,1,8,,non,73489
bas de laine communs,9,8,x,non,73489
bas de laine d'homme,1,8,,non,73489
bas de laine de Ségovie,3,8,,non,73489
bas de laine écarlate,2,8,,non,73489
bas de laine et bas de soie,1,8,x,non,73489
bas de laine et bonnets de laine,2,8,x,non,73489
bas de laine et gants de laine et bonnets de laine,2,8,x,non,73489
bas de laine fin,17,8,x,non,73489
bas de laine grossière,22,8,x,non,73489
bas de laine par paires,2,8,x,non,73489
bas de mulet,1,8,,non,73489
bas de peau,23,8,x,non,73489
bas de poil,8,8,x,non,73489
bas de poil et bas de soie,3,8,x,non,73489
bas de Saint-Mexant,7,8,,non,73489
bas de Ségovie,2,8,x,non,73489
bas de soie,1591,8,x,non,73489
bas de soie à coins d'argent,1,8,,non,73489
bas de soie à coins d'or,2,8,,non,73489
bas de soie à coins d'or et bas de soie à coins d'argent,2,8,,non,73489
bas de soie brodés,1,8,,non,73489
bas de soie brodés d'or,1,8,,non,73489
bas de soie brodés d'or et bas de soie brodés d'argent,1,8,,non,73489
bas de soie de Chine,2,8,,non,73489
bas de soie de Chine pour femme,2,8,,non,73489
bas de soie de Chine pour homme,2,8,,non,73489
bas de soie et gants de soie,1,8,,non,73489
bas de soie pour femme,32,8,x,non,73489
bas de soie pour homme,33,8,x,non,73489
bas de soie pour teindre,1,8,,non,73489
bas de soie vieux,3,8,x,non,73489
bas de toile,1,8,x,non,73489
bas des Îles et des Indes,1,8,,non,73489
bas des Indes de poil,1,8,x,non,73489
bas drapés,1,8,x,non,73489
bas écriers,1,8,x,non,73489
bas et bonnets de castor,1,8,,non,73489
bas et bonnets de fil,4,8,,non,73489
bas et gants de poil,1,8,,non,73489
bas étrillés,1,8,,non,73489
bas gants et bonnets de laine fil et coton,16,8,x,non,73489
bas grossiers,4,8,x,non,73489
bas pour femme,2,8,,non,73489
bas pour homme,2,8,,non,73489
bas-relief de marbre,1,8,,non,73489
basanes,46,6a,x,non,24964
basanes apprêtées,1,6a,x,non,24964
basanes blanc,1,6a,,non,24964
basanes chamoisées,1,6a,,non,24964
basanes de maroquin,1,6a,,non,24964
basanes de mouton,9,6a,x,non,24964
basanes de mouton tannées,2,6a,x,non,24964
basanes de veau,4,6a,x,non,24964
basanes tannées,292,6a,x,non,24964
basanes tannées de veau,8,6a,x,non,24964
basin,886,6g,x,non,17096
basin argent et or,1,6i,,non,10609
basin blanc,10,6g,x,non,17096
basin blanc de 10 aunes,1,6g,x,non,17096
basin blanc de 11 aunes,1,6g,x,non,17096
basin blanc de fil,1,6i,,non,10609
basin brodé,7,6i,,non,10609
basin brodé de soie,1,6f,x,non,16738
basin brodé de soie et d'or,1,6f,x,non,16738
basin clair mêlé de coton,1,6g,,non,17096
basin commun,16,6g,x,non,17096
basin coton,1,6g,,non,17096
basin de 11 aunes,1,6g,,non,17096
basin de 15 aunes,1,6g,,non,17096
basin de 40 aunes,1,6g,,non,17096
basin de Bruges écru de 115 aunes,1,6g,,non,17096
basin de coton et basin de fil,2,6h,x,non,15137
basin de fil,4,6g,x,non,17096
basin de fil et de coton,2,6i,x,non,10609
basin de Godelour,1,6i,,non,10609
basin de lin,2,6d,,non,23077
basin de lin peint,1,6d,,non,23077
basin de Rouen,1,6g,x,non,17096
basin de soie,1,6f,x,non,16738
basin de Troyes,11,6g,x,non,17096
basin des Indes,46,6g,x,non,17096
basin en aunes,1,6g,x,non,17096
basin et Nankin,99,6i,,non,10609
basin peint,7,6g,x,non,17096
basin rayé,2,6g,x,non,17096
basin sec fil,1,6i,,non,10609
basin tout coton,1,6g,x,non,17096
basin uni et Nankin uni,38,6i,,non,10609
baspormettes,1,9c,,non,14305
basse,10,8,x,non,73489
basse de viole,12,8,x,non,73489
basse et bassons,48,8,x,non,73489
basse et chapeaux chinois,2,6i,,non,10609
bassin à barbe,1,9c,x,non,14305
bassin à barbe de cuivre,1,6j,,non,52557
bassin à cassave,1,9c,,non,14305
bassin d'étain,28,6j,x,non,52557
bassin de barbe,1,6j,x,non,52557
bassin de bois,1,6b,,non,36542
bassin de cuivre,122,6j,x,non,52557
bassin de cuivre grand,1,6j,,non,52557
bassin de cuivre jaune,13,6j,x,non,52557
bassin de cuivre jaune et chaudron de cuivre jaune,1,6j,x,non,52557
bassin de cuivre jaune pour l'entrepôt à la destination de la Compagnie des Indes,1,6j,,non,52557
bassin de cuivre petit,1,6j,,non,52557
bassin de cuivre pour l'entrepôt pour Guinée,1,6j,,non,52557
bassin de fer,8,6j,x,non,52557
bassin de marbre,1,8,x,non,73489
bassines de cuivre,5,6j,,non,52557
bassons,7,8,x,non,73489
bassons clarinettes,2,8,,non,73489
bast et écorce d'arbre et foularde,232,8,,non,73489
batanomes,148,6h,x,non,15137
batanony,4,9c,,non,14305
bâtardes,1,9c,,non,14305
batavia,7,0a,x,non,122665
bateaux,203,7,x,non,13687
bateaux à pêcher,3,7,x,non,13687
bateaux neufs,40,7,x,non,13687
bâtiments de mer,21,7,x,non,13687
bâtiments de mer vieux,1,7,,non,13687
bâtiments naufragés,1,7,,non,13687
batiste,567,6d,x,non,23077
batiste blanche,4,6d,x,non,23077
batiste brochée,1,6d,,non,23077
batiste de 12 aunes,1,6d,,non,23077
batiste de fil,12,6d,,non,23077
batiste de lin,15,6d,,non,23077
batiste de lin et linon de lin,14,6d,x,non,23077
batiste de Lorient,1,6d,,non,23077
batiste écrue,2,6d,x,non,23077
batiste en carreaux,1,6d,,non,23077
batiste et linon,144,6d,x,non,23077
batiste et linon de chanvre,2,6d,,non,23077
batiste et linon de chanvre et de lin,7,6d,,non,23077
batiste fine,8,6d,x,non,23077
batiste grise,4,6d,x,non,23077
bâtons,5,6b,x,non,36542
bâtons à chandelle,2,9c,x,non,14305
bâtons à étendre le linge,1,6j,x,non,52557
bâtons à faire cercles,12,9c,x,non,14305
bâtons à frottoir,2,6j,,non,52557
bâtons à gaffes,6,7,x,non,13687
bâtons à lave-place,18,6b,x,non,36542
bâtons à œillets,1,9c,,non,14305
bâtons à pinceaux,1,6b,x,non,36542
bâtons d'éventails d'ivoire,1,8,,non,73489
bâtons de bois,3,6b,x,non,36542
bâtons de bois peints,1,6b,,non,36542
bâtons de bois vernis,1,6b,,non,36542
bâtons de brosses à goudronner,1,6j,x,non,52557
bâtons de cap,1,9c,x,non,14305
bâtons de colliers,3,9c,x,non,14305
bâtons de fer,1,6j,x,non,52557
bâtons de gabares,1,7,x,non,13687
bâtons de gabares de 14 à 16 pieds,1,7,x,non,13687
bâtons de gaffe,1,7,,non,13687
bâtons de pompes,1,7,x,non,13687
bâtons de saloups,1,9c,,non,14305
bâtons de sapin,36,6b,x,non,36542
bâtons de sapin de 4 pieds de long,2,6b,x,non,36542
bâtons de sapin peint,1,6b,,non,36542
bâtons peints,2,6b,x,non,36542
bâtons vernis,22,6b,x,non,36542
bâts,4,6k,x,non,22659
bâts à matelas,1,7,x,non,13687
bâts d'ânes,3,7,,non,13687
bâts de bois,1,7,,non,13687
bâts de chevaux,5,7,,non,13687
bâts de mulets,7,7,x,non,13687
batterie d'airain,5,6j,x,non,52557
batterie de cuisine,5,6j,x,non,52557
batterie de cuisine en cuivre,5,6j,,non,52557
batterie de cuivre,3,6j,x,non,52557
batterie de fer,16,6j,x,non,52557
batterie de fer à cuisine,2,6j,,non,52557
batterie de fer coulé,2,6j,,non,52557
batterie de fer-blanc,1,6j,x,non,52557
batterie en plaque,1,6j,,non,52557
battes à fer,1,6j,x,non,52557
battoirs,1,7,x,non,13687
battoirs à lessive,1,7,x,non,13687
baudriers,29,8,x,non,73489
baudriers de cuir,3,8,x,non,73489
baule,1,9c,,non,14305
baumanes,1,9c,,non,14305
baume,146,5,x,non,62160
baume de benjoin,44,5,x,non,62160
baume de Copahu,127,5,x,non,62160
baume de Copahu et du Pérou,3,5,,non,62160
baume de gaïac,1,5,,non,62160
baume de l'Amérique,1,5,x,non,62160
baume de la Mecque,15,5,x,non,62160
baume de storax liquide et en pain,2,5,,non,62160
baume de storax naturel,3,5,x,non,62160
baume de storax préparé,2,5,,non,62160
baume de storax préparé en grains,1,5,x,non,62160
baume de storax préparé liquide,29,5,x,non,62160
baume de Sucre,2,5,,non,62160
baume de Tolu,2,5,,non,62160
baume de vie,14,5,x,non,62160
baume du Canada,1,5,x,non,62160
baume du Levant,1,5,,non,62160
baume du Pérou,86,5,x,non,62160
baume et élixir,98,5,x,non,62160
baume et sucs d'espèces particulières,2,5,,non,62160
baume laque,1,5,x,non,62160
baume noir,1,5,x,non,62160
baume rouge,1,5,x,non,62160
baume tranquille,1,5,,non,62160
bavette,1,9c,,non,14305
bavoirs,1,8,x,non,73489
bayette,141,6e,x,non,20998
bayette blanche,141,6e,,non,20998
bayette bleue,7,6e,x,non,20998
bayette bleue et rouge,1,6e,x,non,20998
bayette de Beauvais,1,6e,x,non,20998
bayette de prise,6,6e,x,non,20998
bayette des Indes,1,6e,x,non,20998
bayette grosse,1,6e,x,non,20998
bayette teinte,117,6e,,non,20998
bayoulen,2,9c,,non,14305
bazzitte,1,9c,x,non,14305
bdellium,21,2,x,non,132190
beau vert broyé,2,5,x,non,62160
beaudeaux,1,9c,,non,14305
beaupré,134,6b,,non,36542
bécasses,11,0a,x,non,122665
bécassines,2,0a,x,non,122665
becfigues marinés,1,0a,x,non,122665
bêches,2,7,x,non,13687
bêches de fer,1,7,,non,13687
beige,1,2,x,non,132190
béliers brebis et moutons communs,7,0a,,non,122665
béliers mérinos,2,0a,,non,122665
béliers mérinos et métis,7,0a,,non,122665
belinge,1,9c,x,non,14305
benblanc,1,9c,,non,14305
benfletins,1,9c,,non,14305
Bengale,1,8,,non,73489
bénitier de marbre,3,8,x,non,73489
bénitier de marbre ouvré,2,8,,non,73489
bénitier de marbre pesant 250 livres,1,8,,non,73489
benjoin,153,5,x,non,62160
benjoin du Levant,1,5,x,non,62160
bennes,3,9c,x,non,14305
bennes vides,2,9c,x,non,14305
berce de fer et lit de fer,1,9c,x,non,14305
berceau d'enfant,2,8,x,non,73489
berceau d'osier,1,8,x,non,73489
bergamote,2,0b,,non,34713
bergamotes,111,0a,x,non,122665
bergamotes fraîches,1,0a,x,non,122665
Bergopzoom,52,6i,x,non,10609
berline,6,7,x,non,13687
berline et harnais,3,8,,non,73489
berline garnie de velours,1,7,x,non,13687
berline garnie de velours et crêpine d'or et harnais riche,1,7,,non,13687
berline vieille,1,7,x,non,13687
bernes,12,6i,x,non,10609
bernes de laine,4,6e,x,non,20998
bernes ou tapsel,1,6g,x,non,17096
