goods_simpl_classification,nbr_occurences_simpl,medicinales_classification,obsolete,nbr_obs,nbr_occurences_medicinales
attelles de colliers,14,not a medical product,non,14,530567
aube,1,not a medical product,non,1,530567
auchinoise,2,not a medical product,non,2,530567
auclimes,2,not a medical product,non,1,530567
auf,117,not a medical product,non,105,530567
auf ouvré,0,not a medical product,oui,20,530567
auf travaillé,0,not a medical product,oui,3,530567
auf travaillé en cordes,0,not a medical product,oui,1,530567
augemy,2,not a medical product,non,2,530567
auges,3,not a medical product,non,3,530567
auges de carreaux,2,not a medical product,non,2,530567
augustins,2,not a medical product,non,1,530567
aurcsats,1,not a medical product,non,1,530567
aurcsats étoile,1,not a medical product,non,1,530567
aussière,4,not a medical product,non,,530567
autel de marbre,2,not a medical product,non,1,530567
avelanèdes,58,not a medical product,non,58,530567
avelines,8,not a medical product,non,6,530567
avelines et noisettes sèches,22,not a medical product,non,22,530567
avelines faînes noisettes noix,1,not a medical product,non,1,530567
avelines noisettes noix,5,not a medical product,non,5,530567
avirons,639,not a medical product,non,551,530567
avirons bruts,17,not a medical product,non,6,530567
avirons de 12 pieds,1,not a medical product,non,1,530567
avirons de 18 pieds,1,not a medical product,non,1,530567
avirons de 30 pieds,1,not a medical product,non,1,530567
avirons de 5 pieds,1,not a medical product,non,1,530567
avirons de 8 à 12 pieds,1,not a medical product,non,1,530567
avirons de bois,51,not a medical product,non,52,530567
avirons de bois façonné,1,not a medical product,non,1,530567
avirons de chêne,1,not a medical product,non,,530567
avirons de sapin,1,not a medical product,non,,530567
avirons et perches de bois,3,not a medical product,non,3,530567
avirons et rames bruts,2,not a medical product,non,2,530567
avirons et rames de bois,1,not a medical product,non,1,530567
avirons et rames de bois façonné,2,not a medical product,non,2,530567
avirons et rames façonnés,5,not a medical product,non,5,530567
avirons polis,1,not a medical product,non,1,530567
avoine,496,not a medical product,non,420,530567
avoine en gerbes,1,not a medical product,non,1,530567
avoine et haricots,1,not a medical product,non,1,530567
avoine et orge etc.,1,not a medical product,non,1,530567
avoine mondée,1,not a medical product,non,1,530567
avoine moulée,1,not a medical product,non,1,530567
azur,729,not a medical product,non,642,530567
azur commun,197,not a medical product,non,173,530567
azur et bleu de Prusse,9,not a medical product,non,9,530567
azur et cobalt,20,not a medical product,non,20,530567
azur fin,13,not a medical product,non,13,530567
azur gros,22,not a medical product,non,22,530567
babassis,1,not a medical product,non,1,530567
babouches,90,not a medical product,non,86,530567
babouches de maroquin,2,not a medical product,non,1,530567
bacs d'1 aime,1,not a medical product,non,1,530567
bacs de pierre,1,not a medical product,non,1,530567
bacs de pierre bleue,1,not a medical product,non,1,530567
bacs de pierre d'1 aime,1,not a medical product,non,1,530567
bacs de pierre de 4 aimes,1,not a medical product,non,1,530567
bacs de pierre de demi d'aime,1,not a medical product,non,1,530567
bacs de pierre de moindre classe,1,not a medical product,non,1,530567
bacs de pierre de trois-quart d'aime,1,not a medical product,non,1,530567
bacs de pierre en dessous d'1 aime,1,not a medical product,non,1,530567
bacs de pierre en dessus d'1 aime,1,not a medical product,non,1,530567
badiane,60,narrow medical product,non,57,24146
baffetas,10,not a medical product,non,10,530567
baffetas blanc,19,not a medical product,non,4,530567
baffetas bleu,26,not a medical product,non,10,530567
baffetas des Indes,2,not a medical product,non,2,530567
bagarot,1,not a medical product,non,1,530567
bagues,5,not a medical product,non,5,530567
bagues à pierres fausses,1,not a medical product,non,1,530567
bagues d'argent,2,not a medical product,non,2,530567
bagues d'or,1,not a medical product,non,1,530567
bagues de cuivre,2,not a medical product,non,1,530567
bagues de laiton,1,not a medical product,non,1,530567
bagues de verre,3,not a medical product,non,2,530567
baguettes,6,not a medical product,non,3,530567
baguettes à chandelle,1,not a medical product,non,1,530567
baguettes à étoffe,2,not a medical product,non,2,530567
baguettes d'étain,2,not a medical product,non,1,530567
baguettes de bois,1,not a medical product,non,1,530567
baguettes de bois doré,1,not a medical product,non,1,530567
baguettes de cuivre,3,not a medical product,non,3,530567
baguettes de fer à fusil,1,not a medical product,non,1,530567
baguettes de fusil,47,not a medical product,non,41,530567
bahuts,24,not a medical product,non,24,530567
baie de laurier,28,not a medical product,non,28,530567
baies de buis,1,not a medical product,non,1,530567
baies de genévrier à distiller,2,not a medical product,non,2,530567
baies de genièvre,6,not a medical product,non,5,530567
baignes,3,not a medical product,non,3,530567
baignoires,2,not a medical product,non,2,530567
baignoires d'acajou,1,not a medical product,non,1,530567
baignoires de cuivre,4,not a medical product,non,4,530567
baignoires de sapin,1,not a medical product,non,1,530567
baignoires de tôle,2,not a medical product,non,1,530567
baigots,1,not a medical product,non,1,530567
baillarge,5,not a medical product,non,5,530567
bailles,1,not a medical product,non,1,530567
baïonnettes,14,not a medical product,non,8,530567
bais de bois de chêne,1,not a medical product,non,,530567
bajutapau,231,not a medical product,non,153,530567
bajutapau commun,1,not a medical product,non,1,530567
bajutapau des Indes,1,not a medical product,non,1,530567
"bajutapau, canelis, etc.",3,,non,,1390
balais,123,not a medical product,non,114,530567
balais communs,5,not a medical product,non,5,530567
balais coupés,3,not a medical product,non,3,530567
balais de bois,39,not a medical product,non,39,530567
balais de brandes,1,not a medical product,non,1,530567
balais de bruyère,13,not a medical product,non,11,530567
balais de chanvre,1,not a medical product,non,1,530567
balais de crin,12,not a medical product,non,10,530567
balais de foyer,1,not a medical product,non,1,530567
balais de jonc,50,not a medical product,non,39,530567
balais de jonc petits,1,not a medical product,non,1,530567
balais de laine à laver les planchers,1,not a medical product,non,1,530567
balais de millet,2,not a medical product,non,1,530567
balais de paille,2,not a medical product,non,2,530567
balais de paille de riz,6,not a medical product,non,6,530567
balais de palme,295,not a medical product,non,244,530567
balais de palme petits,1,not a medical product,non,1,530567
balais de plumes,3,not a medical product,non,3,530567
balais de poil,2,not a medical product,non,1,530567
balais de riz,5,not a medical product,non,5,530567
balais de soie,7,not a medical product,non,7,530567
balais de soie de porcs,18,not a medical product,non,18,530567
balais de toile,1,not a medical product,non,1,530567
balais du roi,1,not a medical product,non,1,530567
balais fins,1,not a medical product,non,1,530567
balais grands de palme,2,not a medical product,non,2,530567
balais ou ramons,1,not a medical product,non,1,530567
balais petits,1,not a medical product,non,1,530567
balance,8,not a medical product,non,5,530567
balance à la romaine,1,not a medical product,non,1,530567
balance complète,1,not a medical product,non,,530567
balance de bois,1,not a medical product,non,1,530567
balance de cuivre,8,not a medical product,non,5,530567
balance de cuivre jaune,1,not a medical product,non,1,530567
balance de fer,4,not a medical product,non,3,530567
balance et poids de cuivre,1,not a medical product,non,,530567
balance et romaine,2,not a medical product,non,2,530567
balance et ses poids,1,not a medical product,non,1,530567
balance ou fléaux en fer,1,not a medical product,non,1,530567
balance petite,1,not a medical product,non,1,530567
balance romaine,3,not a medical product,non,3,530567
balauste,0,not a medical product,oui,9,530567
balcon de fer,1,not a medical product,non,1,530567
baleine,125,not a medical product,non,121,530567
baleine apprêtée,1,not a medical product,non,1,530567
baleine coupée,641,not a medical product,non,563,530567
baleine coupée en fanon,11,not a medical product,non,11,530567
baleine coupée et en fanon,12,not a medical product,non,12,530567
baleine de sarde,18,not a medical product,non,17,530567
baleine en fanon,278,not a medical product,non,254,530567
baleine en fanon et de sarde,1,not a medical product,non,,530567
baleine non sciée,1,not a medical product,non,1,530567
baleine taillée,1,not a medical product,non,,530567
balles,1,not a medical product,non,1,530567
balles à jouer,3,not a medical product,non,1,530567
balles d'osier,3,not a medical product,non,3,530567
balles de fer et canons de fer,2,not a medical product,non,1,530567
balles de fer uni,1,not a medical product,non,1,530567
balles de jonc,1,not a medical product,non,,530567
balles de palme,1,not a medical product,non,,530567
balles de plomb,8,not a medical product,non,7,530567
balles et dragées de plomb,1,not a medical product,non,1,530567
balles vides,1,not a medical product,non,1,530567
balustres,12,not a medical product,non,1,530567
bamboches,1,,non,,1390
bambous,8,not a medical product,non,7,530567
banastron,1,not a medical product,non,1,530567
banc à couper la paille,1,not a medical product,non,1,530567
banc de sapin,1,not a medical product,non,1,530567
bandages,4,not a medical product,non,1,530567
bandages de peaux,5,not a medical product,non,5,530567
bandages pour soldats,1,not a medical product,non,1,530567
bandanas des Indes,1,not a medical product,non,1,530567
bandeaux,4,not a medical product,non,3,530567
banderoles,1,not a medical product,non,1,530567
banderoles de cuir,2,not a medical product,non,1,530567
bandes de cabrouets de fer,3,not a medical product,non,3,530567
bandes de charrettes,1,not a medical product,non,,530567
bandes de fer,4,not a medical product,non,1,530567
bandes de fer à tombereaux,1,not a medical product,non,1,530567
bandes de roues de fer,1,not a medical product,non,1,530567
bandes de tulles brodées,1,not a medical product,non,1,530567
bandes et barres de fer,4,not a medical product,non,,530567
bandoulières garnies d'argent,1,not a medical product,non,1,530567
bannes et bannettes d'osier,1,not a medical product,non,1,530567
bannettes d'osier,1,not a medical product,non,1,530567
bannettes de cuir,1,not a medical product,non,1,530567
bannière de Damas,1,not a medical product,non,1,530567
banquette,4,not a medical product,non,4,530567
baquelets,1,not a medical product,non,1,530567
baquets,2,not a medical product,non,2,530567
baquets à jeter l'eau,1,not a medical product,non,,530567
baquets de cuivre,5,not a medical product,non,5,530567
baquets de fer,1,not a medical product,non,1,530567
baquets de rechange,1,not a medical product,non,1,530567
baquets de sapin,2,not a medical product,non,1,530567
baracan,173,not a medical product,non,153,530567
baracan aune,1,not a medical product,non,1,530567
baracan d'Abbeville,1,,non,,1390
baracan de laine,14,not a medical product,non,13,530567
baracan de laine et de poil,2,not a medical product,non,2,530567
baracan de Lille,1,not a medical product,non,,530567
baracan de poil,64,not a medical product,non,64,530567
baras,1,not a medical product,non,1,530567
barat de laine,1,not a medical product,non,1,530567
baratte,1,not a medical product,non,1,530567
barbançons,6,not a medical product,non,4,530567
barbançons de grès,14,not a medical product,non,8,530567
barbançons de terre,15,not a medical product,non,6,530567
barbançons de terre de grès,1,not a medical product,non,,530567
barbançons de verre,1,not a medical product,non,,530567
barbe de baleine,10,not a medical product,non,8,530567
barbotine,43,narrow medical product,non,43,24146
barbues,1,not a medical product,non,1,530567
