source,nb_occurence_BdCFR,nbr_occurences_source,orthographic,note,obsolete,nbr_occurences_ortho
2///Matières première///Huile de graine,8,8,matières premières huile de graine,,non,14
2///Matières première///Pain de navette,1,1,matières premières pain de navette,,non,2
2///Matières première///Suif,1,1,matières premières suif,,non,45
2///Matières première///Tabacs,19,19,matières premières tabac,,non,66
2///Matières premières///Articles réunis,75,75,matières premières articles réunis,,non,103
2///Matières premières///Bois de Iles,8,8,matières premières bois des Îles,,non,25
2///Matières premières///Bois des iles,17,17,matières premières bois des Îles,,non,25
2///Matières premières///Bois divers,77,77,matières premières bois divers,,non,94
"2///Matières premières///Brai, goudron et résine",9,9,matières premières brai goudron et résines,,non,25
"2///Matières premières///Brai, Goudron, Résine",8,8,matières premières brai goudron résines,,non,20
"2///Matières premières///Brai,goudron et résine",12,12,matières premières brai goudron résines,,non,20
"2///Matières premières///Bray, goudron, poix et résine",11,11,matières premières brai goudron poix et résines,,non,11
2///Matières premières///Cendres diverses,20,20,matières premières cendre diverse,,non,27
2///Matières premières///cendres Diverses,7,7,matières premières cendre diverse,,non,27
2///Matières premières///Charbon,2,2,matières premières charbon,,non,27
2///Matières premières///Charbons,20,20,matières premières charbon,,non,27
2///Matières premières///Circes blanche et jaune,6,6,matières premières cire blanche et jaune,,non,20
2///Matières premières///Cires blanche et jaune,9,9,matières premières cire blanche et jaune,,non,20
2///Matières premières///Cires blanches et jaunes,5,5,matières premières cire blanche et jaune,,non,20
2///Matières premières///Cires jaune et blanche,9,9,matières premières cire jaune et blanche,,non,22
2///Matières premières///Cires jaune et blanche fondue et en bougies,7,7,matières premières cire jaune et blanche fondue et en bougie,,non,7
2///Matières premières///Cuirs appretés,11,11,matières premières cuirs appretés,,non,11
2///Matières premières///Cuirs apprétés,14,14,matières premières cuirs apprétés,,non,14
2///Matières premières///Cuirs en poil,44,44,matières premières cuirs en poil,,non,44
2///Matières premières///Dents d'éléphant,1,1,matières premières dents d'éléphant,,non,1
"2///Matières premières///Goudron ,poix et résine",6,6,matières premières goudron poix et résines,,non,6
2///Matières premières///Graine de lin,7,7,matières premières graine de lin,,non,12
2///Matières premières///Graine de Lin,5,5,matières premières graine de lin,,non,12
2///Matières premières///Graines de diverses,4,4,matières premières graine de diverses,,non,4
2///Matières premières///Graines de jardin,8,8,matières premières graine de jardin,,non,15
2///Matières premières///Graines de trèfle,3,3,matières premières graine de trèfle,,non,11
2///Matières premières///Graines diverses,7,7,matières premières graine diverse,,non,18
2///Matières premières///Graines diverses et de lin,10,10,matières premières graine diverse et de lin,,non,10
2///Matières premières///Houblon,2,2,matières premières houblon,,non,2
2///Matières premières///Huile d'olive pour fabriques,16,16,matières premières huile d'olive pour fabrique,,non,20
2///Matières premières///Huile de graine,6,6,matières premières huile de graine,,non,14
2///Matières premières///Huile de grains,4,4,matières premières huile de grain,,non,4
2///Matières premières///Huile de poisson,22,22,matières premières huile de poisson,,non,28
2///Matières premières///Huile de poissons,6,6,matières premières huile de poisson,,non,28
2///Matières premières///Huiles d'Olive pour fabriques,4,4,matières premières huile d'olive pour fabrique,,non,20
2///Matières premières///Pain de navette,1,1,matières premières pain de navette,,non,2
"2///Matières premières///Petasse, vedasses et gravelées",12,12,matières premières potasse vedasse et gravelée,,non,32
"2///Matières premières///Potasse, vedasse et gravelées",8,8,matières premières potasse vedasse et gravelée,,non,32
"2///Matières premières///Potasses, vedasses et gravelées",12,12,matières premières potasse vedasse et gravelée,,non,32
2///Matières premières///Soie de porc et sanglier,5,5,matières premières soie de porcs et sanglier,,non,5
2///Matières premières///Soude,20,20,matières premières soudes,,non,20
2///Matières premières///Souffre et salpetre,5,5,matières premières soufre et salpêtre,,non,13
2///Matières premières///Soufre et salpetre,6,6,matières premières soufre et salpêtre,,non,13
2///Matières premières///Soufre et Salpetre,2,2,matières premières soufre et salpêtre,,non,13
2///Matières premières///Suif,44,44,matières premières suif,,non,45
2///Matières premières///Suif fondu et en chandelles,1,1,matières premières suif fondu et en chandelle,,non,1
2///Matières premières///Tabacs,47,47,matières premières tabac,,non,66
2///Subsistances///Articles réunis,7,7,subsistances articles réunis,,non,8
2///Subsistances///Cacao,56,56,subsistances cacao,,non,56
2///Subsistances///Café,71,71,subsistances café,,non,71
2///Subsistances///Chocolat,8,8,subsistances chocolat,,non,8
2///Subsistances///Liqueurs,36,36,subsistances liqueurs,,non,36
2///Subsistances///Liqueurs et sirops,12,12,subsistances liqueurs et sirop,,non,15
2///Subsistances///Liqueurs et Sirops,3,3,subsistances liqueurs et sirop,,non,15
"2///Subsistances///Provisions diverses,principalement en beurre",1,1,subsistances provisions diverses principalement en beurre,,non,13
2///Subsistances///Sirops,45,45,subsistances sirop,,non,45
2///Subsistances///Sucre,72,72,subsistances sucre,,non,72
2///Subsistances///Thé,47,47,subsistances thé,,non,47
2///Suite des matières premières///Articles réunis,1,1,suite des matières premières articles réunis,,non,1
3///Matières première///Alun,11,11,matières premières alun,,non,34
3///Matières première///Cochenille,12,12,matières premières cochenille,,non,31
3///Matières première///Drogues réunies,20,20,matières premières drogues réunies,,non,55
3///Matières première///Garance,6,6,matières premières garance,,non,26
3///Matières première///Indigo,18,18,matières premières indigo,,non,70
3///Matières première///Rocou,15,15,matières premières rocou,,non,39
3///Matières première///Verdet,18,18,matières premières verdet,,non,40
3///Matières premières///Alquifoux ou mine de plomb,4,4,matières premières alquifoux ou mine de plomb,,non,4
3///Matières premières///Alun,23,23,matières premières alun,,non,34
3///Matières premières///Azur,10,10,matières premières azur,,non,10
3///Matières premières///Céruse,6,6,matières premières céruse,,non,6
3///Matières premières///Cochenille,19,19,matières premières cochenille,,non,31
3///Matières premières///Drogues diverses réunies,31,31,matières premières drogues diverses réunies,,non,31
3///Matières premières///Drogues réunies,35,35,matières premières drogues réunies,,non,55
3///Matières premières///Garance,20,20,matières premières garance,,non,26
3///Matières premières///Indigo,52,52,matières premières indigo,,non,70
3///Matières premières///Noix de galle,7,7,matières premières noix de galle,,non,13
3///Matières premières///Noix de Galle,6,6,matières premières noix de galle,,non,13
3///Matières premières///Rocou,24,24,matières premières rocou,,non,39
3///Matières premières///Saffranum,1,1,matières premières safranum,,non,1
3///Matières premières///Verdet,22,22,matières premières verdet,,non,40
3///Subsistances///Articles réunis,1,1,subsistances articles réunis,,non,8
3///Subsistances///Canelle,45,45,subsistances cannelle,,non,45
3///Subsistances///Eiceries diverses,7,7,subsistances épicerie diverse,,non,17
3///Subsistances///Epiceries,29,29,subsistances épicerie,,non,29
3///Subsistances///Epiceries diverses,5,5,subsistances épicerie diverse,,non,17
3///Subsistances///Epiceries Diverses,5,5,subsistances épicerie diverse,,non,17
3///Subsistances///Giroffle,2,2,subsistances girofle,,non,21
3///Subsistances///Girofle,19,19,subsistances girofle,,non,21
3///Subsistances///Muscade,4,4,subsistances muscade,,non,4
3///Subsistances///Poivre,40,40,subsistances poivre,,non,40
3///Suite des matières premières///Alun,6,6,suite des matières premières alun,,non,6
3///Suite des matières premières///Azur,4,4,suite des matières premières azur,,non,4
3///Suite des matières premières///Céruse,2,2,suite des matières premières céruse,,non,2
3///Suite des matières premières///Cochenille,4,4,suite des matières premières cochenille,,non,4
3///Suite des matières premières///Drogues diverses réunies,15,15,suite des matières premières drogues diverses réunies,,non,15
3///Suite des matières premières///Garance,3,3,suite des matières premières garance,,non,3
3///Suite des matières premières///Indigo,6,6,suite des matières premières indigo,,non,6
3///Suite des matières premières///Noix de galle,3,3,suite des matières premières noix de galle,,non,3
3///Suite des matières premières///Rocou,1,1,suite des matières premières rocou,,non,1
À l' aventure,0,22,à l'aventure,,non,47
A l'aventure,0,25,à l'aventure,,non,47
A son lest,0,4,à son lest,,non,4
A vide,0,584,à vide,,non,939
À vide,0,351,à vide,,non,939
A vuide,0,4,à vide,,non,939
Abacir,1,1,abassis,,non,4
Abafine,1,1,abassis,,non,4
Abassis,2,2,abassis,,non,4
Abats,2,2,abats,,non,2
Abbatis de morue,1,1,abattis de morue,,non,1
Abricots confits,1,1,abricots confits,,non,1
Acacia,3,3,acacia,,non,5
Acacia ; germanica,1,1,acacia germanica,,non,1
Acaciavera,1,1,acacia vera,,non,1
Acajou,0,5,acajou,,non,5
Accacia,1,1,acacia,,non,5
Accorus,1,1,acorus,,non,5
Acétate ; de cuivre ; cristallisé,2,2,acétates de cuivre cristallisé,,non,2
Acétate ; de cuivre ; non cristallisé,2,2,acétates de cuivre non cristallisé,,non,2
Acétate ; de fer,1,1,acétates de fer,,non,2
Acétate ; de plomb,2,2,acétates de plomb,,non,29
Acétate ; Sel d'étain,1,1,acétates de sel d'étain,,non,1
Acétates ; de cuivre ; cristallisé (verdet),2,2,acétates de cuivre cristallisé (verdet),,non,2
Acétates ; de cuivre ; non cristallisé (vert-de-gris) sec,3,3,acétates de cuivre non cristallisé (vert de gris) sec,,non,3
"Acétates ; de cuivre, non cristallisé et cristallisé (verdet)",2,2,acétates de cuivre non cristallisés et cristallisés (verdet),,non,2
Acétates ; de fer,1,1,acétates de fer,,non,2
Acétates ; de plomb,27,27,acétates de plomb,,non,29
Acétates ; de plomb (sel de saturne),1,1,acétates de plomb sel de Saturne,,non,2
Acétates ; de plomb (Sel de Saturne),1,1,acétates de plomb sel de Saturne,,non,2
Acétates ; de potasse et de soude,1,1,acétates de potasse et de soudes,,non,1
Achia,5,5,achia,,non,6
Achiabanis,1,1,atchiabanis,,non,13
Acide ; arsenieux,2,2,acide arsenieux,,non,4
Acide ; benzoïque,1,1,acide benzoïque,,non,1
Acide ; borique,2,2,acide borique,,non,3
Acide ; borique et benzoïque,2,2,acide borique et benzoïque,,non,2
Acide ; citrique,2,2,acide citrique,,non,2
Acide ; muriatique,1,1,acide muriatique,,non,1
Acide ; nitrique,2,2,acide nitrique,,non,4
Acide ; oxalique,2,2,acide oxalique,,non,2
Acide ; phosphorique,2,2,acide phosphorique,,non,2
Acide ; succinique,1,1,acide succinique,,non,1
Acide ; sulfurique,2,2,acide sulfurique,,non,4
Acide ; tartrique,2,2,acide tartrique,,non,2
Acide arsenieux (Arsenic blanc),1,1,acide arsenieux (acide blanc),,non,4
Acides ; arsenieux,2,2,acide arsenieux,,non,4
Acides ; arsenieux (arsenic blanc),3,3,acide arsenieux (acide blanc),,non,4
Acides ; boriques,1,1,acide borique,,non,3
"Acides ; citrique, tartrique, oxalique",2,2,"acide citrique, muriatique et phosphorique",,non,2
"Acides ; citriques, tartriques, oxaliques",2,2,acide citrique et tartrique et oxalique,,non,2
Acides ; muriatiques et nitromuriatiques,2,2,acide muriatique et nitro-muriatique,,non,2
Acides ; nitriques,2,2,acide nitrique,,non,4
"Acides ; phosphoriques, benzoïques",2,2,acide phosphorique et benzoïque,,non,2
"Acides ; sulfurique (acide vitriolique, esprit ou huile de vitriol)",3,3,"acide sulfurique (acide vitriolique, esprit ou huile de vitriol)",,non,3
Acides ; sulfuriques,2,2,acide sulfurique,,non,4
"Acides : nitriques, muriatique et phosphorique",3,3,"acide nitrique, muriatique et phosphorique",,non,3
Acier,1731,2563,acier,,non,2566
Acier ; brut,6,6,acier brut,,non,9
Acier ; en barres,3,3,acier en barres,,non,6
Acier ; ouvré,6,6,acier ouvré,,non,7
Acier brun,1,1,acier brun,,non,1
Acier brut,3,3,acier brut,,non,9
Acier commun,1,1,acier commun,,non,1
Acier en barre,1,1,acier en barres,,non,6
Acier en barres,2,2,acier en barres,,non,6
Acier en bottes pour la Compagnie des Indes,1,1,acier en bottes pour la Compagnie des Indes,,non,1
Acier non ouvré,1,1,acier non ouvré,,non,1
Acier ouvré,1,1,acier ouvré,,non,7
Aciers,2,2,acier,,non,2566
Acobille,1,1,agobille,"graphie """"acobille"""" vérifiée sur scan original",non,2
Acon,1,1,acons,,non,1
Acons ; de selle,2,2,arçons de selles,,non,22
Acons ; démontés,1,1,acons démontés,,non,20
Acons ; en gabares ; démontés,1,1,acons en gabares démontés,,non,1
Acons démonté,1,1,acons démontés,,non,20
Acons demontés,3,3,acons démontés,,non,20
Acons démontés,14,14,acons démontés,,non,20
Acons gabares démontés,1,1,acons gabares démontés,,non,1
Acors demontés,1,1,acons démontés,,non,20
Acorus,4,4,acorus,,non,5
Acuirson,0,0,acuirson,,oui,0
Adatays,2,2,adatais,,non,3
Adatis,1,1,adatais,,non,3
Adoises,1,1,ardoise,,non,370
Aeuf,3,3,auf,,non,117
Affuts,2,2,affûts,,non,2
Affuts ; de canon,1,1,affûts de canons,,non,12
Affuts ; de fusils,1,1,affûts de fusils,,non,1
Affuts de bois,1,1,affûts de bois,,non,1
Affuts de canon,6,6,affûts de canons,,non,12
Affuts de canons,2,2,affûts de canons,,non,12
Affûts de canons,1,1,affûts de canons,,non,12
Affuts de fer,1,1,affûts de fer,,non,1
Afust de fut a canon,1,1,affûts de fûts à canons,,non,1
Afut de canon,2,2,affûts de canons,,non,12
Agacia,1,1,acacia,,non,5
Agaric,118,131,agaric,,non,149
Agaric ; Amadouvier,2,2,agaric amadouvier,,non,6
Agaric ; amadouvier ; brut,3,3,agaric amadouvier brut,,non,4
Agaric ; Amadouvier ; brut,1,1,agaric amadouvier brut,,non,4
Agaric ; amadouvier ; préparé (amadou),4,4,agaric amadouvier préparé (amadou),,non,5
