goods_simpl_classification,nbr_occurences_simpl,coton_classification,obsolete,nbr_occurences_coton
avirons de chêne,1,not raw cotton,non,542945
avirons de sapin,1,not raw cotton,non,542945
avirons et perches de bois,3,not raw cotton,non,542945
avirons et rames bruts,2,not raw cotton,non,542945
avirons et rames de bois,1,not raw cotton,non,542945
avirons et rames de bois façonné,2,not raw cotton,non,542945
avirons et rames façonnés,5,not raw cotton,non,542945
avirons polis,1,not raw cotton,non,542945
avoine,496,not raw cotton,non,542945
avoine en gerbes,1,not raw cotton,non,542945
avoine et haricots,1,not raw cotton,non,542945
avoine et orge etc.,1,not raw cotton,non,542945
avoine mondée,1,not raw cotton,non,542945
avoine moulée,1,not raw cotton,non,542945
azur,729,not raw cotton,non,542945
azur commun,197,not raw cotton,non,542945
azur et bleu de Prusse,9,not raw cotton,non,542945
azur et cobalt,20,not raw cotton,non,542945
azur fin,13,not raw cotton,non,542945
azur gros,22,not raw cotton,non,542945
babassis,1,not raw cotton,non,542945
babouches,90,not raw cotton,non,542945
babouches de maroquin,2,not raw cotton,non,542945
bacs d'1 aime,1,not raw cotton,non,542945
bacs de pierre,1,not raw cotton,non,542945
bacs de pierre bleue,1,not raw cotton,non,542945
bacs de pierre d'1 aime,1,not raw cotton,non,542945
bacs de pierre de 4 aimes,1,not raw cotton,non,542945
bacs de pierre de demi d'aime,1,not raw cotton,non,542945
bacs de pierre de moindre classe,1,not raw cotton,non,542945
bacs de pierre de trois-quart d'aime,1,not raw cotton,non,542945
bacs de pierre en dessous d'1 aime,1,not raw cotton,non,542945
bacs de pierre en dessus d'1 aime,1,not raw cotton,non,542945
badiane,59,not raw cotton,non,542945
baffetas,10,not raw cotton,non,542945
baffetas blanc,19,not raw cotton,non,542945
baffetas bleu,26,not raw cotton,non,542945
baffetas des Indes,2,not raw cotton,non,542945
bagarot,1,not raw cotton,non,542945
bagues,5,not raw cotton,non,542945
bagues à pierres fausses,1,not raw cotton,non,542945
bagues d'argent,2,not raw cotton,non,542945
bagues d'or,1,not raw cotton,non,542945
bagues de cuivre,2,not raw cotton,non,542945
bagues de laiton,1,not raw cotton,non,542945
bagues de verre,3,not raw cotton,non,542945
baguettes,6,not raw cotton,non,542945
baguettes à chandelle,1,not raw cotton,non,542945
baguettes à étoffe,2,not raw cotton,non,542945
baguettes d'étain,2,not raw cotton,non,542945
baguettes de bois,1,not raw cotton,non,542945
baguettes de bois doré,1,not raw cotton,non,542945
baguettes de cuivre,3,not raw cotton,non,542945
baguettes de fer à fusil,1,not raw cotton,non,542945
baguettes de fusil,47,not raw cotton,non,542945
bahuts,24,not raw cotton,non,542945
baie de laurier,28,not raw cotton,non,542945
baies de buis,1,not raw cotton,non,542945
baies de genévrier à distiller,2,not raw cotton,non,542945
baies de genièvre,6,not raw cotton,non,542945
baignes,3,not raw cotton,non,542945
baignoires,2,not raw cotton,non,542945
baignoires d'acajou,1,not raw cotton,non,542945
baignoires de cuivre,4,not raw cotton,non,542945
baignoires de sapin,1,not raw cotton,non,542945
baignoires de tôle,2,not raw cotton,non,542945
baigots,1,not raw cotton,non,542945
baillarge,5,not raw cotton,non,542945
bailles,1,not raw cotton,non,542945
baïonnettes,13,not raw cotton,non,542945
bais de bois de chêne,1,not raw cotton,non,542945
bajutapau,231,not raw cotton,non,542945
bajutapau commun,1,not raw cotton,non,542945
bajutapau des Indes,1,not raw cotton,non,542945
"bajutapau, canelis, etc.",3,,non,11255
balais,123,not raw cotton,non,542945
balais communs,5,not raw cotton,non,542945
balais coupés,3,not raw cotton,non,542945
balais de bois,39,not raw cotton,non,542945
balais de brandes,1,not raw cotton,non,542945
balais de bruyère,13,not raw cotton,non,542945
balais de chanvre,1,not raw cotton,non,542945
balais de crin,12,not raw cotton,non,542945
balais de foyer,1,not raw cotton,non,542945
balais de jonc,50,not raw cotton,non,542945
balais de jonc petits,1,not raw cotton,non,542945
balais de laine à laver les planchers,1,not raw cotton,non,542945
balais de millet,2,not raw cotton,non,542945
balais de paille,2,not raw cotton,non,542945
balais de paille de riz,6,not raw cotton,non,542945
balais de palme,295,not raw cotton,non,542945
balais de palme petits,1,not raw cotton,non,542945
balais de plumes,3,not raw cotton,non,542945
balais de poil,2,not raw cotton,non,542945
balais de riz,5,not raw cotton,non,542945
balais de soie,7,not raw cotton,non,542945
balais de soie de porcs,18,not raw cotton,non,542945
balais de toile,1,not raw cotton,non,542945
balais du roi,1,not raw cotton,non,542945
balais fins,1,not raw cotton,non,542945
balais grands de palme,2,not raw cotton,non,542945
balais ou ramons,1,not raw cotton,non,542945
balais petits,1,not raw cotton,non,542945
balance,7,not raw cotton,non,542945
balance à la romaine,1,not raw cotton,non,542945
balance complète,1,not raw cotton,non,542945
balance de bois,1,not raw cotton,non,542945
balance de cuivre,8,not raw cotton,non,542945
balance de cuivre jaune,1,not raw cotton,non,542945
balance de fer,4,not raw cotton,non,542945
balance et poids de cuivre,1,not raw cotton,non,542945
balance et romaine,2,not raw cotton,non,542945
balance et ses poids,1,not raw cotton,non,542945
balance ou fléaux en fer,1,not raw cotton,non,542945
balance petite,1,not raw cotton,non,542945
balance romaine,3,not raw cotton,non,542945
balauste,0,not raw cotton,oui,542945
balcon de fer,1,not raw cotton,non,542945
baleine,125,not raw cotton,non,542945
baleine apprêtée,1,not raw cotton,non,542945
baleine coupée,641,not raw cotton,non,542945
baleine coupée en fanon,11,not raw cotton,non,542945
baleine coupée et en fanon,12,not raw cotton,non,542945
baleine de sarde,18,not raw cotton,non,542945
baleine en fanon,278,not raw cotton,non,542945
baleine en fanon et de sarde,1,not raw cotton,non,542945
baleine non sciée,1,not raw cotton,non,542945
baleine taillée,1,not raw cotton,non,542945
balles,1,not raw cotton,non,542945
balles à jouer,2,not raw cotton,non,542945
balles d'osier,3,not raw cotton,non,542945
balles de fer et canons de fer,2,not raw cotton,non,542945
balles de fer uni,1,not raw cotton,non,542945
balles de jonc,1,not raw cotton,non,542945
balles de palme,1,not raw cotton,non,542945
balles de plomb,8,not raw cotton,non,542945
balles et dragées de plomb,1,not raw cotton,non,542945
balles vides,1,not raw cotton,non,542945
balustres,12,not raw cotton,non,542945
bamboches,1,,non,11255
bambous,8,not raw cotton,non,542945
banastron,1,not raw cotton,non,542945
banc à couper la paille,1,not raw cotton,non,542945
banc de sapin,1,not raw cotton,non,542945
bandages,4,not raw cotton,non,542945
bandages de peaux,5,not raw cotton,non,542945
bandages pour soldats,1,not raw cotton,non,542945
bandanas des Indes,1,not raw cotton,non,542945
bandeaux,4,not raw cotton,non,542945
banderoles,1,not raw cotton,non,542945
banderoles de cuir,2,not raw cotton,non,542945
bandes de cabrouets de fer,3,not raw cotton,non,542945
bandes de charrettes,1,not raw cotton,non,542945
bandes de fer,4,not raw cotton,non,542945
bandes de fer à tombereaux,1,not raw cotton,non,542945
bandes de roues de fer,1,not raw cotton,non,542945
bandes de tulles brodées,1,not raw cotton,non,542945
bandes et barres de fer,4,not raw cotton,non,542945
bandoulières garnies d'argent,1,not raw cotton,non,542945
bannes et bannettes d'osier,1,not raw cotton,non,542945
bannettes d'osier,1,not raw cotton,non,542945
bannettes de cuir,1,not raw cotton,non,542945
bannière de Damas,1,not raw cotton,non,542945
banquette,4,not raw cotton,non,542945
baquelets,1,not raw cotton,non,542945
baquets,2,not raw cotton,non,542945
baquets à jeter l'eau,1,not raw cotton,non,542945
baquets de cuivre,5,not raw cotton,non,542945
baquets de fer,1,not raw cotton,non,542945
baquets de rechange,1,not raw cotton,non,542945
baquets de sapin,2,not raw cotton,non,542945
baracan,173,not raw cotton,non,542945
baracan aune,1,not raw cotton,non,542945
baracan d'Abbeville,1,,non,11255
baracan de laine,14,not raw cotton,non,542945
baracan de laine et de poil,2,not raw cotton,non,542945
baracan de Lille,1,not raw cotton,non,542945
baracan de poil,64,not raw cotton,non,542945
baras,1,not raw cotton,non,542945
barat de laine,1,not raw cotton,non,542945
baratte,1,not raw cotton,non,542945
barbançons,6,not raw cotton,non,542945
barbançons de grès,14,not raw cotton,non,542945
barbançons de terre,15,not raw cotton,non,542945
barbançons de terre de grès,1,not raw cotton,non,542945
barbançons de verre,1,not raw cotton,non,542945
barbe de baleine,10,not raw cotton,non,542945
barbotine,43,not raw cotton,non,542945
barbues,1,not raw cotton,non,542945
barbues couvertes d'étamine,1,not raw cotton,non,542945
barbues de grès,14,not raw cotton,non,542945
barbues de terre,1,not raw cotton,non,542945
barbues ouvrées et cannettes ouvrées et jarres de terre ouvrées,1,not raw cotton,non,542945
bardes,5,not raw cotton,non,542945
barilleau,8,not raw cotton,non,542945
barilleau de laine,2,not raw cotton,non,542945
barils,9,not raw cotton,non,542945
barils à poudre,5,not raw cotton,non,542945
barils ancres,1,not raw cotton,non,542945
barils de chêne,1,not raw cotton,non,542945
barils de fer-blanc,1,not raw cotton,non,542945
barils de fer-blanc simples,1,not raw cotton,non,542945
barils de sapin,1,not raw cotton,non,542945
barils de tonnelier,2,not raw cotton,non,542945
barils de vin de ???,4,not raw cotton,non,542945
barils doubles de fer-blanc,1,not raw cotton,non,542945
barils neufs,1,not raw cotton,non,542945
barils petits,2,not raw cotton,non,542945
barils pour saler sardines,1,not raw cotton,non,542945
barils vides,114,not raw cotton,non,542945
barils vides de sardines,2,not raw cotton,non,542945
barils vieux,1,not raw cotton,non,542945
barois,8,not raw cotton,non,542945
baromètre,6,not raw cotton,non,542945
barques,2,not raw cotton,non,542945
barques démontées,1,not raw cotton,non,542945
barques en bottes,1,not raw cotton,non,542945
barquettes,1,not raw cotton,non,542945
barquettes et nacelles,1,not raw cotton,non,542945
barquettes vieilles,1,not raw cotton,non,542945
barreau de laine,2,not raw cotton,non,542945
barreaux,3,not raw cotton,non,542945
barreaux de bois,8,not raw cotton,non,542945
barreaux de bois et planches de bois,6,not raw cotton,non,542945
barreaux de sapin,2,not raw cotton,non,542945
barreaux de sapin de 10 pieds,1,not raw cotton,non,542945
barreaux neufs,2,not raw cotton,non,542945
barres,3,not raw cotton,non,542945
barres à nègre,1,not raw cotton,non,542945
barres carrées de fer étiré,6,not raw cotton,non,542945
barres carrées de fer étiré de 15 inclusivement à 22 millimètres exclusivement,1,not raw cotton,non,542945
barres carrées de fer étiré de 15 inclusivement à 22 millimètres exclusivement sur chaque face,1,not raw cotton,non,542945
barres carrées de fer étiré de 22 millimètres et plus sur chaque face,2,not raw cotton,non,542945
barres carrées de fer étiré de moins de 15 millimètres,1,not raw cotton,non,542945
barres carrées de fer étiré de moins de 15 millimètres sur chaque face,1,not raw cotton,non,542945
barres d'anspect en bois,1,not raw cotton,non,542945
barres d'anspects,96,not raw cotton,non,542945
barres d'anspects et barres de cabestan,1,not raw cotton,non,542945
barres d'étain,3,not raw cotton,non,542945
barres d'étain ou blocs d'étain,2,not raw cotton,non,542945
barres de barrique,1,not raw cotton,non,542945
barres de bois,37,not raw cotton,non,542945
barres de cabestan,65,not raw cotton,non,542945
barres de cabestan en bois,2,,non,11255
barres de chêne,1,not raw cotton,non,542945
barres de chêne petites,1,not raw cotton,non,542945
barres de cuivre,1,not raw cotton,non,542945
barres de fer,2691,not raw cotton,non,542945
barres de fer à frire,1,not raw cotton,non,542945
barres de fer blanc,2,not raw cotton,non,542945
barres de fer d'Espagne,3,not raw cotton,non,542945
barres de fer de Suède,2,not raw cotton,non,542945
barres de fer étiré,2,not raw cotton,non,542945
barres de futel,1,not raw cotton,non,542945
barres de guindeau,45,not raw cotton,non,542945
barres de sapin,2,not raw cotton,non,542945
barres de sapin de 3 à 4 pieds,1,not raw cotton,non,542945
barres de sapin pour fonçaille,1,not raw cotton,non,542945
barres et verges de fer,15,not raw cotton,non,542945
barres fines de fer,1,not raw cotton,non,542945
barres maître-fond,1,not raw cotton,non,542945
barres plates de fer étiré,6,not raw cotton,non,542945
barres plates de fer étiré de 113 à 366 millimètres ou 42 à 72 lignes inclusivement,1,not raw cotton,non,542945
barres plates de fer étiré de 213 à 366 millimètres de largueur multipliée par l'épaisseur,1,not raw cotton,non,542945
barres plates de fer étiré de moins de 113 millimètres ou 42 lignes,1,not raw cotton,non,542945
barres plates de fer étiré de moins de 213 millimètres de largueur multipliée par l'épaisseur,1,not raw cotton,non,542945
barres plates de fer étiré de plus de 366 millimètres de largeur multipliée par l'épaisseur,1,not raw cotton,non,542945
barres plates de fer étiré de plus de 366 millimètres ou 72 lignes,1,not raw cotton,non,542945
barres pour édifices,1,not raw cotton,non,542945
barres pour édifiées,1,not raw cotton,non,542945
barres rondes de fer étiré,6,not raw cotton,non,542945
barres rondes de fer étiré de 15 millimètres et plus de diamètres,1,not raw cotton,non,542945
barres rondes de fer étiré de 15 millimètres ou 7 lignes et plus de diamètres,1,not raw cotton,non,542945
barres rondes de fer étiré de moins de 15 millimètres de diamètres,1,not raw cotton,non,542945
barres rondes de fer étiré de moins de 15 millimètres ou 7 lignes diamètres,1,not raw cotton,non,542945
barrettes,1,not raw cotton,non,542945
barrettes de cuivre,3,not raw cotton,non,542945
barrettes de fer,1,not raw cotton,non,542945
barriques,53,not raw cotton,non,542945
barriques à eau,2,not raw cotton,non,542945
barriques cerclées de fer,1,not raw cotton,non,542945
barriques cerclées de fer et vides,1,not raw cotton,non,542945
barriques en bœuf,1,,non,11255
barriques neuves,5,not raw cotton,non,542945
barriques vides,93,not raw cotton,non,542945
barriques vides vieilles,48,not raw cotton,non,542945
barriques vieilles,21,not raw cotton,non,542945
bas,11,not raw cotton,non,542945
bas à crin d'or et de soie,1,not raw cotton,non,542945
bas communs,2,not raw cotton,non,542945
bas d'estam,1,not raw cotton,non,542945
bas d'estame,68,not raw cotton,non,542945
bas d'estame fins,2,not raw cotton,non,542945
bas d'étoffe,1,not raw cotton,non,542945
bas de bourre de soie,6,not raw cotton,non,542945
bas de Carcassone,1,,non,11255
bas de castor,10,not raw cotton,non,542945
bas de chamois,19,not raw cotton,non,542945
bas de coton,566,not raw cotton,non,542945
bas de coton 1300 lignes,1,not raw cotton,non,542945
bas de coton de femme,1,,non,11255
bas de coton en paires,1,not raw cotton,non,542945
bas de coton et bas de fil,323,not raw cotton,non,542945
bas de coton et bas de fil et bas de soie,1,not raw cotton,non,542945
bas de coton et bas de fil par paires,1,not raw cotton,non,542945
bas de coton et bas de soie,1,not raw cotton,non,542945
bas de coton et bonnets de coton,30,not raw cotton,non,542945
bas de coton et laine,1,not raw cotton,non,542945
bas de coton pour enfant,1,not raw cotton,non,542945
bas de coton pour femme,1,not raw cotton,non,542945
bas de coton pour homme,1,not raw cotton,non,542945
bas de fil,707,not raw cotton,non,542945
bas de fil commun,21,not raw cotton,non,542945
bas de fil d'or,2,,non,11255
bas de fil divers,1,,non,11255
bas de fil et bas de laine,1,not raw cotton,non,542945
bas de fil et bonnets,2,not raw cotton,non,542945
bas de fil et pour femme,2,not raw cotton,non,542945
bas de fil et pour homme,1,not raw cotton,non,542945
bas de fil par paires,3,not raw cotton,non,542945
